Name;Joints;Movements;Segments
M. iliopsoas;Art. coxae;Flexion, Außenrotation;L1, L2, L3, L4
M. tensor fasciae latae;Art. coxae;Abduktion, Flexion, Innenrotation;L4, L5, S1
M. quadriceps femoris;Art. genus, Art. coxae;Extension, Flexion;L2, L3, L4
M. biceps femoris;Art. genus, Art. coxae;Flexion, Außenrotation;L5, S1, S2
M. gastrocnemius;Art. genus, Art. talocruralis;Plantarflexion, Flexion;S1, S2
M. gluteus maximus;Art. coxae;Extension, Außenrotation, Abduktion, Adduktion;L5, S1, S2
M. gluteus medius;Art. coxae;Abduktion, Flexion, Innenrotation;L4, L5, S1
M. gluteus minimus;Art. coxae;Abduktion, Flexion, Innenrotation;L4, L5, S1
